iter	Passed	Remaining
268	659	1791
269	660	1784
270	663	1785
271	664	1779
272	665	1773
273	666	1766
274	667	1760
275	668	1754
276	669	1748
277	670	1742
278	671	1736
279	672	1730
280	674	1724
281	675	1718
282	680	1724
283	681	1718
284	682	1712
285	683	1706
286	684	1701
287	685	1695
288	686	1689
289	687	1683
290	688	1677
291	689	1672
292	690	1666
293	695	1669
294	696	1664
295	697	1658
296	698	1653
297	699	1647
298	700	1642
299	701	1636
300	702	1630
301	703	1625
302	704	1619
303	705	1614
304	708	1614
305	709	1609
306	710	1604
307	712	1600
308	713	1596
309	715	1591
310	716	1586
311	717	1581
312	719	1579
313	728	1591
314	729	1586
315	730	1581
316	731	1575
317	732	1570
318	733	1565
319	734	1560
320	735	1555
321	736	1550
322	740	1552
323	742	1548
324	743	1543
325	744	1538
326	745	1533
327	746	1529
328	747	1525
329	749	1521
330	750	1517
331	751	1512
332	756	1515
333	758	1512
334	759	1508
335	761	1504
336	762	1499
337	763	1495
338	777	1515
339	778	1511
340	779	1506
341	781	1502
342	786	1507
343	790	1507
344	791	1503
345	793	1499
346	794	1495
347	795	1490
348	796	1486
349	798	1483
350	800	1480
351	801	1475
352	802	1470
353	803	1466
354	804	1462
355	805	1457
356	806	1452
357	807	1448
358	808	1443
359	809	1439
360	813	1439
361	814	1436
362	815	1431
363	817	1427
364	818	1423
365	819	1419
366	822	1418
367	823	1415
368	828	1417
369	830	1413
370	831	1409
371	832	1404
372	833	1400
373	833	1395
374	834	1391
375	835	1387
376	837	1383
377	838	1379
378	839	1374
379	843	1375
380	844	1371
381	845	1367
382	846	1364
383	848	1361
384	849	1356
385	850	1352
386	851	1348
387	852	1344
388	853	1340
389	854	1336
390	857	1336
391	859	1333
392	860	1329
393	862	1325
394	863	1321
395	864	1317
396	865	1313
397	866	1310
398	867	1306
399	868	1302
400	868	1298
401	869	1294
402	874	1295
403	875	1291
404	876	1287
405	877	1283
406	878	1279
407	879	1275
408	880	1272
409	881	1268
410	882	1264
411	883	1261
412	884	1257
413	890	1259
414	891	1256
415	892	1252
416	893	1249
417	896	1247
418	898	1245
419	899	1241
420	900	1237
421	906	1241
422	908	1239
423	910	1236
424	911	1233
425	914	1232
426	915	1229
427	921	1231
428	923	1229
429	925	1226
430	926	1223
431	930	1222
432	940	1231
433	942	1229
434	945	1228
435	947	1226
436	957	1233
437	959	1230
438	962	1229
439	964	1226
440	977	1238
441	978	1235
442	985	1238
443	988	1237
444	990	1235
445	991	1231
446	992	1227
447	993	1224
448	994	1220
449	995	1217
450	998	1215
451	1000	1212
452	1003	1211
453	1004	1208
